vault,user,asset_symbol,amount_sent,df_tokens_received,underlying_received,tx_hash,batch_number,status
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDFMVD4ZEWSYFBU3A3YMHJ6MZODOAOKJKKID6XIJKFGTO5NXV43BJXWY,EURC,7976542776,7702240742,7976542798,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GAR2BFDSXHKCTBNQTKNGDCPLNNHL2BDXQOG6DJCTMY6B3MI54GK27H4Z,EURC,7216629856,6968460154,7216629876,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDDKS44THMQJU4BOYZMNW33WGOZGLY7BG627EJSXYZ33MISQG3J65P4K,EURC,5867682306,5665901003,5867682321,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBLSVE2WBOGQPSUCRPYCKIPDQNKGYTO6ANVN4YS7XXLEYOIPJAIGPSGY,EURC,3027381193,2923273832,3027381201,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBIGILQVZD3J44M2QBNOJKKF3VAPEU6BCNH6URGGM3NCREH7HQLDE43P,EURC,2539899038,2452555499,2539899044,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GB76I5KQCCMMWKC74NCNIOE5WZ56XK3NXQIITDKVWTTI27MF56NWDUYY,EURC,1888614252,1823667476,1888614256,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCWW7JNVGE3YBYIVLPHS47GZNPVB4LPZFPAT7UT36TUHOGHD734Z42XQ,EURC,1826886148,1764062115,1826886153,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCZRUIJCSPIVNDOHSKCZMNAAMBB5ZIUIXETKSD6OG2H4TBRL7BXIAYQM,EURC,1810668316,1748401991,1810668320,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDM3DTLGZSUSJLRXNTJCVDTR3BA4MLWSIMSLPSIJVGZQG2SFQ7IGNSMU,EURC,1460367938,1410147948,1460367941,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBPJDXB4N2Z32HLROMQVYLXYAC5EPFB5WYL7H7EIKNKLSJHU2NQX5H2T,EURC,1450208080,1400337478,1450208088,c43b17a7eb7af585b0e58c3676f0f07128f56b07b9ef0baa525db17b1b0e434f,1,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDC7YP6WSJ2UQJTLBP6HH5NM5GXHO66VCQNLO3Y3IXZX36RUEAQRDTHE,EURC,1368040173,1320995184,1368040181,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBFFILMFPAAVVLAFRMC3OK2GB3RJTMXGLFS2MGFYU77SUJJM5ZGI646G,EURC,1193205014,1152172361,1193205020,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCLL2SEMXNNZZG6EYHJ3KNSPGBCLNM7KUWW5D2WIIZT5JWQ5V3VXUHC2,EURC,1047544319,1011520734,1047544325,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GC5HRZSXKTLKGQ2SKEM3F7OCWYQ2E6R4PXOS5GWAJE7WDXYSKZHSEELG,EURC,681602772,658163405,681602775,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBW7TCDT7JPRSVPGP6UBVFHXF4A7QFZEIFS2CU7MQAZVDCNJR43F57L5,EURC,568759568,549200721,568759571,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBMB5DBRHIZ73DI4D2Q5YZN2XD4BSX3RLNE6ARGUQAPWKURTTQJG7KX7,EURC,547046451,528234288,547046454,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCAIYDD2K6E7I5XSFTJPWJS4DBUZ2QYJGZVVU7LRSHUED2Q5P6YJ7ZFK,EURC,458342155,442580409,458342157,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCMMKP7R6UXPCRGGM66SLEGGO5CAE3UHBB3OWAOSYBAWUALK6VYLIZVJ,EURC,432651729,417773440,432651730,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDLHM4BVVWSNXESYNNPM77AEKTUJYKJWPCJE4CNLXGN57N3B5FMGJRFK,EURC,407629543,393611732,407629544,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDLQBCT4WER3VSYAVBCWC266TL6L7DM52UWBA5ZZLFXTWT4LI5C7XTFS,EURC,407460344,393448357,407460351,2ffcb9f7855fbe8dd98edd0ebca76f468b20eb281b55de96d630b0ef37bd1de8,2,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GA7CCLJVLUSUTJOL5EWY6UDZOMC5ZPVOTNSSTHQ2V4AEUBCQ5D3FOAGX,EURC,367131853,354506695,367131855,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GD6F3NOE5WNFWOXVRRAWURN53XL35ULK53ZYVWBVWPTGJIG2ZQSH3ALQ,EURC,360926540,348514774,360926542,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GAITVNQXRYKJE6HTCI4W24TKDV2YTTAPTMBUQUGV63R7WPGXW2J7YFJ3,EURC,360526511,348128501,360526512,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBPHE3X23YV3UPINALERC4ISH5P6KBEMGEF7SUNRPGLIHX5VZ3VBSTE4,EURC,330588167,319219696,330588169,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GC6D6262EDPJYDQLHOGKLU2C4DCL3TNCACOFDYDFPB2G6MCKXK7DAG4Y,EURC,325830853,314625979,325830854,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCMS42QFVYBWDRTQ3WR7ZJZPCMZGGYKAA45HAMT3TBGTRW4JNQ46SOSN,EURC,317637364,306714253,317637365,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GAOCBGLJQ3VSR5XDGSZVNXDCOKI3FDXQLM764LY6V6EIYL66X3DCXJUM,EURC,314832730,304006066,314832731,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDJQILWEJKQ7OVUKFSASXHTPQFP5OS7XI7DVDVCQOCYZT2O3HURBNCLZ,EURC,261930709,252923273,261930710,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBLG5KJBIMC266PP6O63DT5ZFPDYG4OXSU4N2FE7ZSKKTLE2O7TGE6SZ,EURC,182026357,175766721,182026357,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDZ7VMZOY56JIFF33CBIC5OA2KQBYQXLLIT3DMH2T7YQ6BSSYI4VBSSB,EURC,158143629,152705292,158143634,66d88e190ec2f4929b10e5919c38c78978deaf059edfb68456d870f1078d7803,3,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDYYAQILSH3AOWIM2AAMVUXCQVQTWKJ3URBD5KMMQ77S7DLVOSV66NNA,EURC,154531183,149217063,154531185,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBW5RAWURARRKSR36ZMHQZMRTCUX3VCKEFEU7HDHMAYW4LRVQTEJJW27,EURC,119924749,115800697,119924750,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBWNWN3XILOYGGZSO5WGUY6XT3VPU7PJUJITWBZU7MR2BHJ6R6H5EW7W,EURC,94106478,90870282,94106478,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GAAHPWTL5GV3TUKE3SZSPVRC25EJXDYO2KVY5OXMVIPCAC5ZYU2R4JMO,EURC,60724153,58635930,60724153,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GD2G5SMMJFLYOIYNPEPQLLMMPHQXE3FJ7ZL43HMZ2NS5IHYR4KWGSZJH,EURC,57049558,55087700,57049558,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GARENRQGTAW7FBRXC4DO7E3AAS3PNFETTR24IIQ6ECCUBUZN2X2Q6PMS,EURC,48859601,47179384,48859600,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GCUNCNCSEULNCFEQIPEJTTPSIGB4WYBGT227NWSZ7IIWTKD2MORZB37E,EURC,45263742,43707182,45263742,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GC2KOVDADHLE5RERI6OABYPA5R6EKSKRYFB2FPEEHF7FDARGRA7FQRW2,EURC,44490558,42960587,44490558,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GA7YMFNYK6CEXXBO5CP4AHYSCJA4JTX6W5GEEL46OZ4TOVP2FZZHI5DD,EURC,42154184,40704558,42154184,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDNW3H5CFBOCIOXRAV7BOU2TEKSNP6GMTRVY7PBCF6ICPPS5FWX2XYXA,EURC,42085241,40637991,42085246,12f0dd98032783bd38f0477cd512cfce00fba38ec7d11918f1259b25079165e9,4,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GDVHVTWAMEEW765MHJ47UIKCZXVM3XV2NW6TR3ABLEXEDUVHQ7DTZTY5,EURC,41980168,40536524,41980167,bbc9b4997b60041506c394ed00853836271ae6cf4d8aebbacc505d91a6141c7c,5,"success"
CAIZ3NMNPEN5SQISJV7PD2YY6NI6DIPFA4PCRUBOGDE4I7A3DXDLK5OI,GBE75HRVWKVBIYGB5YTTUGIALLHM5BIMCBWZFRGTEFI77PGOVTHH4G4D,EURC,41583478,40153476,41583477,bbc9b4997b60041506c394ed00853836271ae6cf4d8aebbacc505d91a6141c7c,5,"success"
